occurrence_id,species,countryCode,location,source,longitude,latitude,tas_mean_c,prec_mean_annual,elevation_m,ecosystem_code,Temperatur,Moisture,Landcover,Landforms,Climate_Re,Red,Green,Blue,W_Ecosystm,color
1,Vespa crabro,NL,NA,gbif,5.75,51.5,11.25,59.38461538461539,22,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
2,Vespa crabro,NL,NA,gbif,4.45,51.95,11.11923076923074,76.38461538461539,-2,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
3,Vespa crabro,DE,NA,gbif,8.67,49.42,11.465384615384664,67.15384615384616,105,161,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,163,170,28,Warm Temperate Moist Settlement on Plains,#A3AA1C
4,Vespa crabro,DE,NA,gbif,13.64,51.06,9.88846153846157,48.69230769230769,211,110,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,33,144,30,Cool Temperate Moist Cropland on Hills,#21901E
5,Vespa crabro,NA,"13890 Mouriès, France",inat,4.86,43.69,15.926923076923115,32.84615384615385,23,184,Warm Temperate,Dry,Cropland,Mountains,Warm Temperate Dry,141,179,80,Warm Temperate Dry Cropland on Mountains,#8DB350
6,Vespa crabro,NL,NA,gbif,5.95,52.25,10.75769230769231,65.38461538461539,19,128,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,22,133,0,Cool Temperate Moist Grassland on Plains,#168500
7,Vespa crabro,NL,NA,gbif,6.1,51.3,11.442307692307736,53.46153846153846,18,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
8,Vespa crabro,NL,NA,gbif,5.75,53.2,10.480769230769226,72.38461538461539,0,128,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,22,133,0,Cool Temperate Moist Grassland on Plains,#168500
9,Vespa crabro,BA,NA,gbif,18.87,44.44,11.811538461538476,78.92307692307692,281,173,Warm Temperate,Moist,Cropland,Mountains,Warm Temperate Moist,100,150,37,Warm Temperate Moist Cropland on Mountains,#649625
10,Vespa crabro,NA,"2670 Fanhões, Portugal",inat,-9.18,38.9,15.288461538461547,39,243,173,Warm Temperate,Moist,Cropland,Mountains,Warm Temperate Moist,100,150,37,Warm Temperate Moist Cropland on Mountains,#649625
11,Vespa crabro,AT,NA,gbif,15.7,46.78,10.496153846153902,77.15384615384616,296,110,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,33,144,30,Cool Temperate Moist Cropland on Hills,#21901E
12,Vespa crabro,NA,"Friedberg, Bayern, Deutschland",inat,10.99,48.34,9.33461538461546,64.61538461538461,505,110,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,33,144,30,Cool Temperate Moist Cropland on Hills,#21901E
13,Vespa crabro,DE,NA,gbif,8.86,49.05,10.7038461538462,61.76923076923077,317,105,Cool Temperate,Moist,Forest,Hills,Cool Temperate Moist,2,99,1,Cool Temperate Moist Forest on Hills,#026301
14,Vespa crabro,NL,NA,gbif,5.25,51.8,11.103846153846176,65.84615384615384,3,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
15,Vespa crabro,NA,"Riepholm, 27374 Visselhövede, Deutschland",inat,10.35,53.22,10.134615384615358,50.23076923076923,36,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
16,Vespa crabro,NA,"Baden, AT-NO, AT",inat,16.25,47.92,10.750000000000057,55,260,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
17,Vespa crabro,NL,NA,gbif,4.9,52.25,10.950000000000044,77.15384615384616,-3,128,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,22,133,0,Cool Temperate Moist Grassland on Plains,#168500
18,Vespa crabro,NA,"Graz, Styria, AT",inat,15.45,47.04,9.950000000000044,73.46153846153847,337,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
19,Vespa crabro,NL,NA,gbif,5.8,51.3,11.39615384615388,56.76923076923077,30,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
20,Vespa crabro,CH,NA,gbif,8.05,46.75,10.650000000000034,106.07692307692308,770,113,Cool Temperate,Moist,Settlement,Mountains,Cool Temperate Moist,61,67,0,Cool Temperate Moist Settlement on Mountains,#3D4300
21,Vespa crabro,CH,NA,gbif,8.05,46.75,NA,NA,770,113,Cool Temperate,Moist,Settlement,Mountains,Cool Temperate Moist,61,67,0,Cool Temperate Moist Settlement on Mountains,#3D4300
22,Vespa crabro,NL,NA,gbif,6.5,53.2,10.196153846153834,72.23076923076923,-2,128,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,22,133,0,Cool Temperate Moist Grassland on Plains,#168500
23,Vespa crabro,DE,NA,gbif,10.65,52.43,10.496153846153902,46.84615384615385,61,128,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,22,133,0,Cool Temperate Moist Grassland on Plains,#168500
24,Vespa crabro,LU,NA,gbif,6.04,49.62,10.21923076923082,65.3076923076923,304,110,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,33,144,30,Cool Temperate Moist Cropland on Hills,#21901E
25,Vespa crabro,NA,"10011 Agliè TO, Italia",inat,7.77,45.36,13.21923076923082,50.84615384615385,322,168,Warm Temperate,Moist,Cropland,Hills,Warm Temperate Moist,112,198,86,Warm Temperate Moist Cropland on Hills,#70C656
26,Vespa crabro,NL,NA,gbif,5.5,51.4,11.326923076923094,56.46153846153846,24,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
27,Vespa crabro,NL,NA,gbif,6.65,51.95,10.988461538461593,57.53846153846154,28,128,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,22,133,0,Cool Temperate Moist Grassland on Plains,#168500
28,Vespa crabro,NL,NA,gbif,6.55,52,10.988461538461593,58.76923076923077,19,128,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,22,133,0,Cool Temperate Moist Grassland on Plains,#168500
29,Vespa crabro,NA,"Via Cà Baldone, Montescudo-Monte Colombo, Emilia-Romagna, IT",inat,12.55,43.94,14.626923076923106,53.46153846153846,129,173,Warm Temperate,Moist,Cropland,Mountains,Warm Temperate Moist,100,150,37,Warm Temperate Moist Cropland on Mountains,#649625
30,Vespa crabro,DE,NA,gbif,9.5,53.57,10.119230769230796,60.53846153846154,7,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
31,Vespa crabro,NL,NA,gbif,4.6,52.35,11.126923076923106,85.3076923076923,7,128,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,22,133,0,Cool Temperate Moist Grassland on Plains,#168500
32,Vespa crabro,NL,NA,gbif,5.25,52.25,10.88076923076926,71.76923076923077,4,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
33,Vespa crabro,GB,NA,gbif,-0.89,53.07,10.365384615384698,55.92307692307692,22,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
34,Vespa crabro,IT,NA,gbif,13.42,46.14,10.726923076923129,165.46153846153845,328,176,Warm Temperate,Moist,Forest,Mountains,Warm Temperate Moist,49,105,3,Warm Temperate Moist Forest on Mountains,#316903
35,Vespa crabro,NL,NA,gbif,5.7,51.35,11.380769230769316,56.76923076923077,26,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
36,Vespa crabro,NL,NA,gbif,6.6,53.15,10.19615384615389,72.07692307692308,2,128,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,22,133,0,Cool Temperate Moist Grassland on Plains,#168500
37,Vespa crabro,NA,"Broomfield, Bridgwater TA5 2EQ, UK",inat,-3.11,51.08,10.19615384615389,112.84615384615384,191,107,Cool Temperate,Moist,Grassland,Mountains,Cool Temperate Moist,26,83,0,Cool Temperate Moist Grassland on Mountains,#1A5300
38,Vespa crabro,AT,NA,gbif,15.38,47.04,8.919230769230808,79,419,97,Cool Temperate,Moist,Forest,Mountains,Cool Temperate Moist,6,64,0,Cool Temperate Moist Forest on Mountains,#064000
39,Vespa crabro,NA,"Nevers, Bourgogne-Franche-Comté, France",inat,3.49,47.13,11.450000000000044,71.15384615384616,367,101,Cool Temperate,Moist,Forest,Tablelands,Cool Temperate Moist,71,89,181,Cool Temperate Moist Forest on Tablelands,#4759B5
40,Vespa crabro,GB,NA,gbif,-1.04,53.26,10.06538461538463,59.46153846153846,53,105,Cool Temperate,Moist,Forest,Hills,Cool Temperate Moist,2,99,1,Cool Temperate Moist Forest on Hills,#026301
41,Vespa crabro,NL,NA,gbif,4.6,51.55,11.242307692307747,67.76923076923077,8,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
42,Vespa crabro,NL,NA,gbif,5.2,52.3,10.83461538461546,73.46153846153847,6,111,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,1,109,0,Cool Temperate Moist Forest on Plains,#016D00
43,Vespa crabro,NL,NA,gbif,5.2,52.1,10.88846153846157,73.15384615384616,5,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
44,Vespa crabro,NL,NA,gbif,6.55,51.9,11.042307692307702,57.15384615384615,21,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
45,Vespa crabro,DE,NA,gbif,8.51,52.96,10.288461538461604,59.07692307692308,39,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
46,Vespa crabro,NA,"Rossendorf, Radeberg, Deutschland",inat,13.94,51.07,9.388461538461511,55.30769230769231,286,102,Cool Temperate,Moist,Cropland,Tablelands,Cool Temperate Moist,99,97,160,Cool Temperate Moist Cropland on Tablelands,#6361A0
47,Vespa crabro,NA,"Estrada das Azenhas, Ervedal, Alentejo, PT",inat,-7.82,39.05,16.680769230769272,55.76923076923077,165,190,Warm Temperate,Dry,Cropland,Hills,Warm Temperate Dry,153,217,128,Warm Temperate Dry Cropland on Hills,#99D980
48,Vespa crabro,NA,"Cité internationale, 69006 Lyon, France",inat,4.85,45.78,13.39615384615388,61.15384615384615,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Vespa crabro,NA,"Provincia di Frosinone, Italia",inat,13.01,41.78,14.649999999999975,68.84615384615384,245,173,Warm Temperate,Moist,Cropland,Mountains,Warm Temperate Moist,100,150,37,Warm Temperate Moist Cropland on Mountains,#649625
50,Vespa crabro,NL,NA,gbif,6.85,52.3,10.773076923076928,64,23,128,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,22,133,0,Cool Temperate Moist Grassland on Plains,#168500
51,Vespa crabro,NA,"91540 Fontenay-le-Vicomte, France",inat,2.4,48.55,12.526923076923085,52.84615384615385,67,169,Warm Temperate,Moist,Settlement,Hills,Warm Temperate Moist,136,158,52,Warm Temperate Moist Settlement on Hills,#889E34
52,Vespa crabro,SK,NA,gbif,21.24,48.99,9.442307692307793,60.76923076923077,273,113,Cool Temperate,Moist,Settlement,Mountains,Cool Temperate Moist,61,67,0,Cool Temperate Moist Settlement on Mountains,#3D4300
53,Vespa crabro,DK,NA,gbif,12.35,55.75,9.296153846153857,50,29,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
54,Vespa crabro,NL,NA,gbif,5.95,51.95,11.019230769230774,64.92307692307692,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,Vespa crabro,NL,NA,gbif,6.2,52.2,10.811538461538532,65.15384615384616,8,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
56,Vespa crabro,NL,NA,gbif,6.6,52.35,10.765384615384676,63.76923076923077,10,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
57,Vespa crabro,NL,NA,gbif,6.75,52.25,10.826923076923094,62.69230769230769,18,128,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,22,133,0,Cool Temperate Moist Grassland on Plains,#168500
58,Vespa crabro,NL,NA,gbif,4.9,52.35,10.903846153846189,79,5,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
59,Vespa crabro,NA,德国明斯特邮政编码: 48,inat,7.59,51.94,10.880769230769204,63.23076923076923,63,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
60,Vespa crabro,DE,NA,gbif,7.53,51.92,10.826923076923094,64.15384615384616,68,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
61,Vespa crabro,NL,NA,gbif,5.7,51.95,11.02692307692314,67.6923076923077,9,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
62,Vespa crabro,CZ,NA,gbif,14.41,50.08,10.319230769230783,46.84615384615385,227,154,Cool Temperate,Dry,Settlement,Hills,Cool Temperate Dry,122,154,61,Cool Temperate Dry Settlement on Hills,#7A9A3D
63,Vespa crabro,DE,NA,gbif,6.17,50.75,10.357692307692332,64.46153846153847,243,114,Cool Temperate,Moist,Grassland,Hills,Cool Temperate Moist,22,124,10,Cool Temperate Moist Grassland on Hills,#167C0A
64,Vespa crabro,NA,"Gotland, SE-GT, SE",inat,18.31,57.57,8.703846153846143,43.92307692307692,64,111,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,1,109,0,Cool Temperate Moist Forest on Plains,#016D00
65,Vespa crabro,NL,NA,gbif,6.05,51.25,11.480769230769283,54.69230769230769,25,111,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,1,109,0,Cool Temperate Moist Forest on Plains,#016D00
66,Vespa crabro,NA,"Casarabonela, Casarabonela, Málaga, ES",inat,-4.84,36.78,16.434615384615427,66.61538461538461,600,184,Warm Temperate,Dry,Cropland,Mountains,Warm Temperate Dry,141,179,80,Warm Temperate Dry Cropland on Mountains,#8DB350
67,Vespa crabro,NA,"Ranica Europa 4, 24020 Ranica BG, Italia",inat,9.71,45.73,12.642307692307725,102.76923076923076,376,172,Warm Temperate,Moist,Settlement,Mountains,Warm Temperate Moist,105,89,18,Warm Temperate Moist Settlement on Mountains,#695912
68,Vespa crabro,DE,NA,gbif,7.42,51.89,10.873076923076953,63.69230769230769,65,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
69,Vespa crabro,NL,NA,gbif,5.35,51.7,11.157692307692344,64.15384615384616,4,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
70,Vespa crabro,NL,NA,gbif,5.2,52.2,10.85000000000008,74.38461538461539,11,111,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,1,109,0,Cool Temperate Moist Forest on Plains,#016D00
71,Vespa crabro,NL,NA,gbif,5.25,51.8,NA,NA,3,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
72,Vespa crabro,AT,NA,gbif,16.14,47.14,10.26538461538462,68.6923076923077,294,110,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,33,144,30,Cool Temperate Moist Cropland on Hills,#21901E
73,Vespa crabro,DE,NA,gbif,6.16,50.86,10.91923076923075,63.07692307692308,167,105,Cool Temperate,Moist,Forest,Hills,Cool Temperate Moist,2,99,1,Cool Temperate Moist Forest on Hills,#026301
74,Vespa crabro,NA,"4260 Bled, Slovenia",inat,14.09,46.36,10.150000000000034,137.07692307692307,539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,Vespa crabro,AT,NA,gbif,15.44,47.07,9.819230769230783,72.84615384615384,362,113,Cool Temperate,Moist,Settlement,Mountains,Cool Temperate Moist,61,67,0,Cool Temperate Moist Settlement on Mountains,#3D4300
76,Vespa crabro,NA,"Rives Dervoises, Grand Est, FR",inat,4.77,48.53,12.17307692307702,67.3076923076923,133,166,Warm Temperate,Moist,Forest,Plains,Warm Temperate Moist,45,158,6,Warm Temperate Moist Forest on Plains,#2D9E06
77,Vespa crabro,NA,"Des Natur-and Geopark Mëllerdall, Steinborn, Distrikt Luxemburg, LU",inat,6.24,49.77,10.019230769230774,66.46153846153847,340,129,Cool Temperate,Moist,Settlement,Tablelands,Cool Temperate Moist,47,63,130,Cool Temperate Moist Settlement on Tablelands,#2F3F82
78,Vespa crabro,NL,NA,gbif,6.55,53.2,10.188461538461524,72.6923076923077,1,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
79,Vespa crabro,GB,NA,gbif,-5.09,50.29,11.311538461538532,99.15384615384616,67,178,Warm Temperate,Moist,Cropland,Tablelands,Warm Temperate Moist,61,89,194,Warm Temperate Moist Cropland on Tablelands,#3D59C2
80,Vespa crabro,NL,NA,gbif,7.1,52.9,10.319230769230842,69.6923076923077,8,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
81,Vespa crabro,DE,NA,gbif,10.51,52.28,10.44230769230768,45.07692307692308,72,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
82,Vespa crabro,NA,"38 Braunschweig-Wabe-Schunter-Beberbach, Deutschland",inat,10.59,52.27,10.357692307692332,44.23076923076923,83,111,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,1,109,0,Cool Temperate Moist Forest on Plains,#016D00
83,Vespa crabro,NA,"Modena, Emilia-Romagna, Italy",inat,10.94,44.26,11.057692307692378,62.15384615384615,788,97,Cool Temperate,Moist,Forest,Mountains,Cool Temperate Moist,6,64,0,Cool Temperate Moist Forest on Mountains,#064000
84,Vespa crabro,DE,NA,gbif,9.48,51.33,10.003846153846212,44.38461538461539,168,113,Cool Temperate,Moist,Settlement,Mountains,Cool Temperate Moist,61,67,0,Cool Temperate Moist Settlement on Mountains,#3D4300
85,Vespa crabro,GB,NA,gbif,-1.19,54.13,9.557692307692378,65.92307692307692,60,110,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,33,144,30,Cool Temperate Moist Cropland on Hills,#21901E
86,Vespa crabro,NA,"P6FV+CM Toll dels Sabaters, 43560, Tarragona, Espanya",inat,0.25,40.72,12.919230769230808,90.84615384615384,850,194,Warm Temperate,Dry,Forest,Mountains,Warm Temperate Dry,96,139,37,Warm Temperate Dry Forest on Mountains,#608B25
87,Vespa crabro,GB,NA,gbif,-1.05,51.12,10.173076923076962,89.07692307692308,193,109,Cool Temperate,Moist,Grassland,Tablelands,Cool Temperate Moist,78,92,155,Cool Temperate Moist Grassland on Tablelands,#4E5C9B
88,Vespa crabro,DE,NA,gbif,8.47,48.9,10.796153846153857,69.23076923076923,304,129,Cool Temperate,Moist,Settlement,Tablelands,Cool Temperate Moist,47,63,130,Cool Temperate Moist Settlement on Tablelands,#2F3F82
89,Vespa crabro,AT,NA,gbif,10.57,47.15,8.55769230769232,71.84615384615384,1053,113,Cool Temperate,Moist,Settlement,Mountains,Cool Temperate Moist,61,67,0,Cool Temperate Moist Settlement on Mountains,#3D4300
90,Vespa crabro,DE,NA,gbif,8.23,50.08,11.06538461538463,42.07692307692308,160,113,Cool Temperate,Moist,Settlement,Mountains,Cool Temperate Moist,61,67,0,Cool Temperate Moist Settlement on Mountains,#3D4300
91,Vespa crabro,NA,Brown Moss,inat,-2.65,52.95,9.888461538461511,81,106,114,Cool Temperate,Moist,Grassland,Hills,Cool Temperate Moist,22,124,10,Cool Temperate Moist Grassland on Hills,#167C0A
92,Vespa crabro,DE,NA,gbif,7.23,51,10.457692307692357,77.38461538461539,208,109,Cool Temperate,Moist,Grassland,Tablelands,Cool Temperate Moist,78,92,155,Cool Temperate Moist Grassland on Tablelands,#4E5C9B
93,Vespa crabro,NA,"Hostivice, Česko",inat,14.25,50.07,9.42692307692306,50.69230769230769,374,105,Cool Temperate,Moist,Forest,Hills,Cool Temperate Moist,2,99,1,Cool Temperate Moist Forest on Hills,#026301
94,Vespa crabro,NA,"Granada, España",inat,-3.55,37.26,12.18846153846158,53.69230769230769,1289,194,Warm Temperate,Dry,Forest,Mountains,Warm Temperate Dry,96,139,37,Warm Temperate Dry Forest on Mountains,#608B25
95,Vespa crabro,CZ,NA,gbif,16.74,48.77,10.665384615384651,50.69230769230769,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,Vespa crabro,DE,NA,gbif,8.27,48.97,12.050000000000068,59.07692307692308,108,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
97,Vespa crabro,NA,"Кам'янець-Подільський район, Хмельницька область, Україна",inat,26.79,48.63,10.434615384615428,46.30769230769231,207,105,Cool Temperate,Moist,Forest,Hills,Cool Temperate Moist,2,99,1,Cool Temperate Moist Forest on Hills,#026301
98,Vespa crabro,NA,"8522 Groß St. Florian, Österreich",inat,15.33,46.81,10.04230769230776,80.53846153846153,339,97,Cool Temperate,Moist,Forest,Mountains,Cool Temperate Moist,6,64,0,Cool Temperate Moist Forest on Mountains,#064000
99,Vespa crabro,ES,NA,gbif,-0.57,39.91,15.357692307692332,48.69230769230769,539,185,Warm Temperate,Dry,Settlement,Mountains,Warm Temperate Dry,144,124,59,Warm Temperate Dry Settlement on Mountains,#907C3B
100,Vespa crabro,GB,NA,gbif,-2.82,53.59,10.334615384615404,95.92307692307692,26,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
101,Vespa crabro,NA,"Gödöllő, Magyarország",inat,19.36,47.6,10.68846153846158,50.61538461538461,215,154,Cool Temperate,Dry,Settlement,Hills,Cool Temperate Dry,122,154,61,Cool Temperate Dry Settlement on Hills,#7A9A3D
102,Vespa crabro,NA,"10612 Jerte, Cáceres, España",inat,-5.77,40.21,14.865384615384698,92.76923076923076,799,194,Warm Temperate,Dry,Forest,Mountains,Warm Temperate Dry,96,139,37,Warm Temperate Dry Forest on Mountains,#608B25
103,Vespa crabro,DE,NA,gbif,9.49,51.3,10.173076923076906,43.53846153846154,159,97,Cool Temperate,Moist,Forest,Mountains,Cool Temperate Moist,6,64,0,Cool Temperate Moist Forest on Mountains,#064000
104,Vespa crabro,NL,NA,gbif,5.6,51.4,11.357692307692332,57.38461538461539,24,111,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,1,109,0,Cool Temperate Moist Forest on Plains,#016D00
105,Vespa crabro,AT,NA,gbif,15.45,47.09,9.588461538461615,73,418,113,Cool Temperate,Moist,Settlement,Mountains,Cool Temperate Moist,61,67,0,Cool Temperate Moist Settlement on Mountains,#3D4300
106,Vespa crabro,NL,NA,gbif,5.4,51.85,11.06538461538463,66.3076923076923,4,128,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,22,133,0,Cool Temperate Moist Grassland on Plains,#168500
107,Vespa crabro,AT,NA,gbif,15.87,46.82,10.21153846153851,71.23076923076923,275,103,Cool Temperate,Moist,Cropland,Mountains,Cool Temperate Moist,33,102,5,Cool Temperate Moist Cropland on Mountains,#216605
108,Vespa crabro,DE,NA,gbif,8.6,53.59,10.203846153846143,64.6923076923077,6,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
109,Vespa crabro,NA,"Poljica, Hrvatska",inat,15.26,44.21,15.457692307692298,104.3076923076923,20,168,Warm Temperate,Moist,Cropland,Hills,Warm Temperate Moist,112,198,86,Warm Temperate Moist Cropland on Hills,#70C656
110,Vespa crabro,DE,NA,gbif,9.96,51.52,9.53461538461545,55.76923076923077,192,113,Cool Temperate,Moist,Settlement,Mountains,Cool Temperate Moist,61,67,0,Cool Temperate Moist Settlement on Mountains,#3D4300
111,Vespa crabro,DE,NA,gbif,8.59,52.16,10.442307692307736,62.07692307692308,91,110,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,33,144,30,Cool Temperate Moist Cropland on Hills,#21901E
112,Vespa crabro,NA,"Chránená Krajinná Oblasť Dunajské luhy, Bratislava V, Bratislavský kraj, SK",inat,17.18,48.05,11.165384615384651,54.07692307692308,130,111,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,1,109,0,Cool Temperate Moist Forest on Plains,#016D00
113,Vespa crabro,NL,NA,gbif,3.7,51.6,11.503846153846156,72.15384615384616,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,Vespa crabro,NL,NA,gbif,5.9,51.85,11.08846153846156,63.61538461538461,16,110,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,33,144,30,Cool Temperate Moist Cropland on Hills,#21901E
115,Vespa crabro,NA,"Segovia, España",inat,-3.71,41.11,10.83461538461529,59.84615384615385,1320,142,Cool Temperate,Dry,Grassland,Mountains,Cool Temperate Dry,82,134,31,Cool Temperate Dry Grassland on Mountains,#52861F
116,Vespa crabro,NL,NA,gbif,4,51.4,11.426923076923115,65.07692307692308,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,Vespa crabro,CZ,NA,gbif,16.62,49.18,9.996153846153844,53.38461538461539,201,154,Cool Temperate,Dry,Settlement,Hills,Cool Temperate Dry,122,154,61,Cool Temperate Dry Settlement on Hills,#7A9A3D
118,Vespa crabro,DE,NA,gbif,7.73,51.51,10.403846153846189,70.76923076923077,170,102,Cool Temperate,Moist,Cropland,Tablelands,Cool Temperate Moist,99,97,160,Cool Temperate Moist Cropland on Tablelands,#6361A0
119,Vespa crabro,NA,"Rissener Ufer, Hamburg, Hamburg, DE",inat,9.75,53.56,10.18846153846158,60.53846153846154,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,Vespa crabro,NA,"11310 Saissac, France",inat,2.17,43.41,11.311538461538476,106.23076923076924,718,101,Cool Temperate,Moist,Forest,Tablelands,Cool Temperate Moist,71,89,181,Cool Temperate Moist Forest on Tablelands,#4759B5
121,Vespa crabro,AT,NA,gbif,13.06,47.81,9.52692307692314,114.3076923076923,422,113,Cool Temperate,Moist,Settlement,Mountains,Cool Temperate Moist,61,67,0,Cool Temperate Moist Settlement on Mountains,#3D4300
122,Vespa crabro,DE,NA,gbif,7.28,50.79,11.496153846153902,62.07692307692308,112,105,Cool Temperate,Moist,Forest,Hills,Cool Temperate Moist,2,99,1,Cool Temperate Moist Forest on Hills,#026301
